operator,conquest_epoch
Multiply,5920.0
Divide,2324.0
Modulo,4771.0
Add,2406.0
Subtract,2550.0
Multiply,6310.0
Divide,2413.0
Modulo,5063.0
Add,2271.0
Subtract,3016.0
Multiply,5394.0
Divide,2300.0
Modulo,4924.0
Add,2108.0
Subtract,2361.0
Multiply,6439.0
Divide,2385.0
Modulo,4526.0
Add,2223.0
Subtract,2838.0
Multiply,5728.0
Divide,2323.0
Modulo,4361.0
Add,2215.0
Subtract,2425.0
Multiply,5877.0
Divide,2306.0
Modulo,4941.0
Add,2644.0
Subtract,2663.0
Multiply,6107.0
Divide,2462.0
Modulo,4659.0
Add,2183.0
Subtract,2531.0
Multiply,6063.0
Divide,2441.0
Modulo,4502.0
Add,2333.0
Subtract,3253.0
Multiply,6005.0
Divide,2387.0
Modulo,4648.0
Add,2754.0
Subtract,2871.0
Multiply,6020.0
Divide,2646.0
Modulo,4587.0
Add,2997.0
Subtract,2549.0
Multiply,5342.0
Divide,2604.0
Modulo,4992.0
Add,2594.0
Subtract,2749.0
Multiply,6200.0
Divide,2477.0
Modulo,4379.0
Add,2568.0
Subtract,2613.0
Multiply,6046.0
Divide,2470.0
Modulo,4519.0
Add,2163.0
Subtract,2589.0
Multiply,5394.0
Divide,2534.0
Modulo,4627.0
Add,2633.0
Subtract,3177.0
Multiply,5631.0
Divide,2438.0
Modulo,5148.0
Add,2786.0
Subtract,2519.0
Multiply,6273.0
Divide,2545.0
Modulo,4758.0
Add,2713.0
Subtract,3189.0
Multiply,5729.0
Divide,2476.0
Modulo,4675.0
Add,2799.0
Subtract,2709.0
Multiply,5716.0
Divide,2529.0
Modulo,4467.0
Add,2495.0
Subtract,2779.0
Multiply,5460.0
Divide,2378.0
Modulo,5221.0
Add,2933.0
Subtract,2856.0
Multiply,5885.0
Divide,2237.0
Modulo,4492.0
Add,2290.0
Subtract,2598.0
Multiply,5116.0
Divide,2278.0
Modulo,5127.0
Add,2903.0
Subtract,3060.0
Multiply,5531.0
Divide,2535.0
Modulo,4627.0
Add,2175.0
Subtract,2679.0
Multiply,6356.0
Divide,2573.0
Modulo,4466.0
Add,2387.0
Subtract,2476.0
Multiply,5839.0
Divide,2452.0
Modulo,4997.0
Add,2267.0
Subtract,3166.0
Multiply,5833.0
Divide,2439.0
Modulo,5073.0
Add,2172.0
Subtract,2942.0
Multiply,5560.0
Divide,2215.0
Modulo,4649.0
Add,2996.0
Subtract,2467.0
Multiply,5682.0
Divide,2350.0
Modulo,4717.0
Add,2660.0
Subtract,2779.0
Multiply,5415.0
Divide,2436.0
Modulo,5273.0
Add,2704.0
Subtract,2172.0
Multiply,6393.0
Divide,2451.0
Modulo,4792.0
Add,1926.0
Subtract,2560.0
Multiply,5335.0
Divide,2372.0
Modulo,5107.0
Add,2145.0
Subtract,2569.0
Multiply,5390.0
Divide,2482.0
Modulo,5080.0
Add,2734.0
Subtract,3282.0
Multiply,5469.0
Divide,2498.0
Modulo,4952.0
Add,3486.0
Subtract,3212.0
Multiply,6254.0
Divide,2145.0
Modulo,4689.0
Add,3175.0
Subtract,3245.0
Multiply,5355.0
Divide,2362.0
Modulo,4782.0
Add,2351.0
Subtract,3042.0
Multiply,5485.0
Divide,2394.0
Modulo,4730.0
Add,2409.0
Subtract,2814.0
Multiply,6141.0
Divide,2447.0
Modulo,4893.0
Add,2317.0
Subtract,3098.0
Multiply,6117.0
Divide,2515.0
Modulo,4532.0
Add,2709.0
Subtract,2750.0
Multiply,6285.0
Divide,2271.0
Modulo,4601.0
Add,2510.0
Subtract,3326.0
